Thief,2018,LederGames,Base Game,Stable,Y,Raccon,1,,1,,,1,1,,,,,Steal,"""Take a random card from a player in your clearing""",,,,https://ledergames.com/collections/games/products/root-a-game-of-woodland-might-and-right,
Adventurer,2020,LederGames,Vagabond Pack,Stable,Y,Owl,1,,1,,1,,,,,,,Improvise,"Once per turn, you may damage any item to treat it as another item for a quest.",,,,https://ledergames.com/collections/games/products/root-the-vagabond-pack,
Arbiter,2018,LederGames,Base Game,Stable,Y,Badger,1,,1,,,2,,,,,,Protector,"Before rolling in battle, the defender may enlist the Arbiter if he is in the battle’s clearing. The Arbiter scores one point and adds undamaged swords to the defender’s maximum rolled hits.",,,,https://ledergames.com/collections/games/products/root-a-game-of-woodland-might-and-right,
Scoundrel,2018,LederGames,Base Game,Stable,Y,Cat,1,,2,1,,,,,,,,Scorched Earth,Place the torch in your clearing. Remove all enemy pieces there. Pieces can no longer be placed in or moved into the clearing.,,,,https://ledergames.com/collections/games/products/root-a-game-of-woodland-might-and-right,
Ronin,2020,LederGames,Vagabond Pack,Stable,Y,Raccon,1,,2,,,1,,,,,,Swift Strike,"After rolling in battle, you may exhaust a sword to deal an extra hit.",,,,https://ledergames.com/collections/games/products/root-the-vagabond-pack,
Vagrant,2018,LederGames,Base Game,Stable,Y,Opossum,1,,1,,,,,1,,,,Instigate,"Initiate a battle in your clearing. You choose both attacker and defender, and you remove pieces for each.",,,,https://ledergames.com/collections/games/products/root-a-game-of-woodland-might-and-right,
Harrier,2020,LederGames,Vagabond Pack,Stable,Y,Squirrel,1,,0,1,,1,,1,,,,Glide,"Move to any clearing, exhausting no boots.",,,,https://ledergames.com/collections/games/products/root-the-vagabond-pack,
Ranger,2018,LederGames,Base Game,Stable,Y,Wolf,1,,1,1,,1,,,,,,Hideout,Repair three items. Then immediately end Daylight.,,,,https://ledergames.com/collections/games/products/root-a-game-of-woodland-might-and-right,
Tinker,2018,LederGames,Base Game,Stable,Y,Beaver,1,1,1,,1,,,,,,,Day Labor,Take a card from the discard pile matching your clearing,,,,https://ledergames.com/collections/games/products/root-a-game-of-woodland-might-and-right,
Blacksmith,2022,slugfacekillah,Doomed Expansion,Stable,N,Deer,1,1,,,1,,,1,,,Any,Hammertime,May exhaust any item to take the repair action.,,https://steamcommunity.com/sharedfiles/filedetails/?id=2916424744,,,https://drive.google.com/drive/u/0/folders/18ymrLMqZOyBqTPJcxSGZPCxggd9LLrDh
